EmployeeID,Department,JobRole,Age,YearsAtCompany,MonthlyIncome,OverTime,JobSatisfaction,PerformanceRating,TrainingHours,AbsenceDays,Attrition
EMP30000,HR,Executive,27,5,4417.48,No,4,1,11,7,No
EMP30001,Operations,Manager,43,7,7129.68,Yes,5,2,7,15,No
EMP30002,Sales,Developer,25,15,7019.48,No,3,4,36,5,No
EMP30003,IT,Developer,59,12,4747.76,No,1,4,59,8,No
EMP30004,Operations,Developer,47,0,5461.17,Yes,4,3,31,1,No
EMP30005,IT,Executive,39,4,4706.1,No,1,4,46,5,No
EMP30006,HR,Analyst,40,0,6235.25,Yes,5,4,7,1,No
EMP30007,Sales,Developer,45,3,5124.96,No,2,1,17,9,No
EMP30008,Finance,Developer,25,12,4790.45,Yes,4,2,43,6,No
EMP30009,HR,Analyst,40,13,5485.94,No,1,2,27,20,No
EMP30010,Marketing,Specialist,48,7,3043.34,Yes,3,3,6,12,No
EMP30011,HR,Specialist,31,11,5302.89,No,4,4,17,7,No
EMP30012,Operations,Developer,39,5,6391.08,Yes,4,4,49,11,No
EMP30013,Marketing,Developer,33,7,5623.75,No,1,1,43,20,No
EMP30014,Marketing,Specialist,27,13,6844.15,No,1,3,50,3,Yes
EMP30015,Operations,Developer,59,4,4850.72,No,5,1,24,5,No
EMP30016,Finance,Manager,44,5,4727.73,No,3,2,57,11,No
EMP30017,HR,Analyst,36,2,3740.69,Yes,5,2,56,2,No
EMP30018,Sales,Analyst,34,3,4808.05,No,1,3,25,10,No
EMP30019,Sales,Specialist,47,0,8365.51,No,3,4,16,3,No
EMP30020,HR,Analyst,25,13,5829.98,No,3,4,58,18,No
EMP30021,Finance,Developer,43,13,4538.36,No,5,2,24,16,No
EMP30022,Sales,Manager,29,6,3907.45,No,4,3,32,1,No
EMP30023,Marketing,Analyst,55,9,3018.87,Yes,4,1,57,11,No
EMP30024,Marketing,Manager,51,3,4171.08,No,2,1,20,4,No
EMP30025,Sales,Executive,50,0,6555.46,Yes,5,4,54,12,No
EMP30026,Sales,Developer,26,8,4776.12,No,2,4,14,11,No
EMP30027,Marketing,Executive,24,2,3979.41,Yes,2,4,21,20,No
EMP30028,IT,Executive,38,13,4144.39,No,4,2,26,3,No
EMP30029,IT,Analyst,34,4,6390.89,No,5,3,32,10,No
EMP30030,IT,Manager,49,11,5294.77,No,5,1,18,20,No
EMP30031,Operations,Analyst,48,4,4475.86,No,1,3,54,2,No
EMP30032,Sales,Specialist,36,2,4954.08,No,5,2,42,5,No
EMP30033,IT,Specialist,27,8,8725.49,No,2,4,42,15,No
EMP30034,HR,Analyst,33,2,7246.1,No,2,2,45,2,No
EMP30035,Finance,Specialist,40,6,7619.6,No,5,3,40,4,No
EMP30036,Marketing,Executive,30,4,2788.51,Yes,5,3,41,20,No
EMP30037,IT,Executive,33,14,5190.01,No,2,4,41,12,No
EMP30038,IT,Analyst,30,8,4449.48,No,1,1,45,1,No
EMP30039,Finance,Specialist,23,11,6232.43,No,2,2,56,17,No
EMP30040,HR,Manager,44,9,7006.38,Yes,3,2,16,10,No
EMP30041,Finance,Developer,59,14,5906.31,No,1,1,33,10,No
EMP30042,IT,Developer,58,7,4107.96,No,2,4,15,20,No
EMP30043,Finance,Manager,57,13,4425.15,No,1,4,15,6,No
EMP30044,Marketing,Specialist,46,14,6347.52,No,5,1,58,7,No
EMP30045,Operations,Specialist,50,14,6496.78,Yes,2,3,31,12,No
EMP30046,Operations,Manager,23,11,5628.1,No,2,4,44,5,No
EMP30047,Sales,Developer,28,15,5611.35,No,3,2,45,2,No
